"","date","price"
"620",2019-10-24,1310.3523
"621",2019-10-25,1320.3569
"622",2019-10-26,1320.3139
"623",2019-10-27,1320.2708
"624",2019-10-28,1325.7801
"625",2019-10-29,1327.3821
"626",2019-10-30,1346.1193
"627",2019-10-31,1346.0754
"628",2019-11-01,1346.0315
"629",2019-11-02,1345.9876
"630",2019-11-03,1345.9438
"631",2019-11-04,1363.2752
"632",2019-11-05,1377.6988
"633",2019-11-06,1373.5219
"634",2019-11-07,1372.0552
"635",2019-11-08,1385.1261
"636",2019-11-09,1385.081
"637",2019-11-10,1385.0358
"638",2019-11-11,1398.7184
"639",2019-11-12,1444.198
"640",2019-11-13,1463.0961
"641",2019-11-14,1477.2243
"642",2019-11-15,1454.1968
"643",2019-11-16,1454.1493
"644",2019-11-17,1454.1019
"645",2019-11-18,1439.0753
"646",2019-11-19,1454.778
"647",2019-11-20,1474.4247
"648",2019-11-21,1468.201
"649",2019-11-22,1472.47
"650",2019-11-23,1472.422
"651",2019-11-24,1472.3739
"652",2019-11-25,1476.7709
"653",2019-11-26,1483.9417
"654",2019-11-27,1513.63
"655",2019-11-28,1551.9624
"656",2019-11-29,1518.1295
"657",2019-11-30,1518.08
"658",2019-12-01,1518.0305
"659",2019-12-02,1492.2134
"660",2019-12-03,1479.3193
"661",2019-12-04,1478.1108
"662",2019-12-05,1457.9068
"663",2019-12-06,1461.1081
"664",2019-12-07,1461.0605
"665",2019-12-08,1461.0129
"666",2019-12-09,1442.2826
"667",2019-12-10,1453.305
"668",2019-12-11,1447.8302
"669",2019-12-12,1451.4445
"670",2019-12-13,1448.7868
"671",2019-12-14,1448.7395
"672",2019-12-15,1448.6923
"673",2019-12-16,1448.9555
"674",2019-12-17,1438.8795
"675",2019-12-18,1430.8964
"676",2019-12-19,1437.7964
"677",2019-12-20,1441.2746
"678",2019-12-21,1441.2276
"679",2019-12-22,1441.1806
"680",2019-12-23,1449.9356
"681",2019-12-24,1440.7708
"682",2019-12-25,1440.7238
"683",2019-12-26,1440.1915
"684",2019-12-27,1435.8755
"685",2019-12-28,1435.8287
"686",2019-12-29,1435.7819
"687",2019-12-30,1437.8469
"688",2019-12-31,1437.8
"689",2020-01-01,1437.7531
"690",2020-01-02,1464.3731
"691",2020-01-03,1462.3174
"692",2020-01-04,1462.2697
"693",2020-01-05,1462.2221
"694",2020-01-06,1491.1276
"695",2020-01-07,1490.507
"696",2020-01-08,1486.2906
"697",2020-01-09,1491.6127
"698",2020-01-10,1498.7102
"699",2020-01-11,1498.6613
"700",2020-01-12,1498.6125
"701",2020-01-13,1523.0103
"702",2020-01-14,1511.1203
"703",2020-01-15,1513.2726
"704",2020-01-16,1528.0464
"705",2020-01-17,1528.6966
"706",2020-01-18,1528.6468
"707",2020-01-19,1528.5969
"708",2020-01-20,1525.9005
"709",2020-01-21,1523.9861
